S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S6,1.8,nearopt,,-0.5555278177512624,,0.233,,,,pooled,-2.581726405121235,-2.4174559836842784,,,0.0,i_整年2折,6.165437878595568,-0.7641544208030007,-0.6809070083567933,,,,
S6,1.8,nearopt,,-0.8569563499060675,,0.233,,,,worst,-2.280297872966431,-2.251540624440146,,,0.0,i_整年2折,6.05507101881515,-0.6778503331838076,-0.6508505979941547,,,,
S6,1.8,nearopt,,-0.438688085701142,,0.246,,,,pooled,-2.581726405121235,-2.4174559836842784,,,0.0,ii_半年4折_purge,6.006255033251252,-0.7447732434486775,-0.70292314210731,,,,
S6,1.8,nearopt,,-0.784995151017226,,0.212,,,,worst,-1.802587213789238,-1.721765946513557,,,0.0,ii_半年4折_purge,5.430652899576598,-0.6384573701735416,-0.5358578228664326,,,,
S6,1.8,nearopt,,-0.7840831616344873,,0.217,,,,pooled,-2.4768935361135216,-2.421941354256205,,,0.5,i_整年2折,6.042130263445551,-0.678770526053138,-0.6275324128952698,,,,
S6,1.8,nearopt,,-0.9120533296596331,,0.217,,,,worst,-2.348923368088376,-2.256300259803636,,,0.5,i_整年2折,6.048888451157731,-0.6805192395585022,-0.6077004149046792,,,,
S6,1.8,nearopt,,0.7149719451408828,,0.327,,,,pooled,-2.4768935361135216,-2.421941354256205,,,0.5,ii_半年4折_purge,5.715746701012144,-0.9228444405340073,-0.9289185615435711,,,,
S6,1.8,nearopt,,0.45944492294784295,,0.31,,,,worst,-1.694857223907059,-1.6682812607657056,,,0.5,ii_半年4折_purge,5.100214791085282,-0.6830667715182559,-0.7668767502848044,,,,
S6,1.8,nearopt,,-0.5414244352637385,,0.253,,,,pooled,-2.2811511508583426,-2.4101691820890077,,,1.0,i_整年2折,5.739716605963112,-0.6272720929206296,-0.6932058699204906,,,,
S6,1.8,nearopt,,-0.6741488394977038,,0.253,,,,worst,-2.148426746624377,-2.238484018721224,,,1.0,i_整年2折,5.697107202444653,-0.6072849242736177,-0.6660284499480615,,,,
S6,1.8,nearopt,,1.4234393273359147,,0.393,,,,pooled,-2.2811511508583426,-2.4101691820890077,,,1.0,ii_半年4折_purge,5.457838216185528,-0.9400221062692019,-1.068547250895824,,,,
