symbol,mfr,fp
NSC,0.09552616232637146,none
NSC,0.1618273714403906,up
NSC,0.051982888693917984,down
NSC,0.04582593933293655,down
CPK,0.07956935167089751,none
CPK,0.09744283324383796,none
CPK,0.04320251570526579,none
CPK,0.04914130083987289,none
CPK,0.1236100391138375,up
CPK,0.1000169881460451,none
CPK,0.0853384672295654,none
CPK,0.0390856280035865,none
CPK,0.19004157256395704,up
CPK,0.008847617123953544,none
CPK,0.014464239102901733,none
CPK,0.11967242837658687,up
ARDC,0.019509563024023846,down
ARDC,0.0015144888913427579,down
ARDC,0.16065834676639246,up
ARDC,0.03800948287749595,none
ARDC,0.040468670149522046,none
ARDC,0.031101713960298927,none
ARDC,0.014920528796743993,none
ARDC,0.0340243784514922,none
ARDC,0.1400205374171657,up
ARDC,0.03017824750426845,down
ARDC,0.07265293254943872,up
ARDC,0.035954584855963256,none
BML-PH,0.06326362067436442,up
BML-PH,0.06873898603827011,up
BML-PH,0.021211137260573443,none
BML-PH,0.014703484096615815,none
BML-PH,0.017313047899604417,none
BML-PH,0.06179115610292585,none
BML-PH,0.004005294919114277,down
BML-PH,0.06319025502957176,up
BML-PH,0.0010320413027034014,none
BML-PH,0.0720858684712451,up
BML-PH,0.0,down
BML-PH,0.03071739453676048,up
CNH,0.10108025421197508,none
CNH,0.13156007153628502,up
CNH,0.26734706675971465,up
CNH,-0.014762954912553305,down
CNH,0.045983878950054846,down
CNH,0.02471155260900626,down
CNH,0.07404397841697041,down
CNH,0.3180660993037767,up
CNH,0.0238645735149845,down
CNH,-0.014964275238114833,down
CNH,0.0024227717105347324,down
CNH,0.0245281850186454,down
KOD,1.4760233455005816,up
KOD,0.17216118143828418,down
KOD,0.063549127490931,down
KOD,1.2374429074611513,up
KOD,1.3076923923379602,up
KOD,1.1465799009405728,up
KOD,0.15704156116584023,down
KOD,0.0,down
KOD,1.0851065081781632,up
KOD,0.36051547650209415,up
KOD,1.140127250217633,up
KOD,0.3489582764191783,down
BTDPY,0.1422763765427335,up
BTDPY,0.16766480776084447,up
BTDPY,0.06544303248103422,down
BTDPY,0.1678005245087395,none
BTDPY,0.13153138095876837,up
BTDPY,0.20329683951869693,up
BTDPY,0.03238490694296425,none
BTDPY,0.40694448633933344,up
BTDPY,0.21827414193233197,up
BTDPY,0.21468723013449909,up
BTDPY,0.18685566020565325,up
BTDPY,0.027397232252803327,down
DFIN,0.03156565626158225,down
DFIN,0.08902643371821006,down
DFIN,0.07243348608102451,none
DFIN,0.10194486780146095,none
DFIN,0.1463770631883965,up
DFIN,0.047798780525255546,down
DFIN,0.15763375257167755,up
DFIN,0.37819331442427706,up
DFIN,0.2645537468874293,up
DFIN,0.005277247958727527,down
DFIN,0.153182743376304,up
DFIN,0.0920336123710197,none
RLFTF,0.17499995231628418,down
RLFTF,0.39999993642171217,none
RLFTF,0.17647055523618382,none
RLFTF,0.11428574153355187,down
RLFTF,0.08391609032863334,none
RLFTF,0.3999999999999999,none
RLFTF,0.197044384731486,none
RLFTF,0.12994351500110857,down
RLFTF,0.16606933839042792,down
RLFTF,0.370748344004592,none
RLFTF,0.39372827857126946,up
RLFTF,-0.047244050142243865,down
FULO,0.06896562880994739,up
FULO,0.12637350650720736,down
FULO,0.16252554775395822,down
FULO,0.3804715430999812,down
FULO,0.7222223530074785,down
FULO,0.19047608344034828,up
FULO,0.6944445193373188,up
FULO,0.413793100060728,down
FULO,0.3846155149598074,up
FULO,0.33333304413687803,up
FULO,0.2500000903361843,down
FULO,-0.03142871599276753,down
ETON,0.07041379567902495,none
ETON,0.6359223199841302,up
ETON,0.565597603802964,up
ETON,0.3079268290466812,up
ETON,0.06282722872536994,down
ETON,0.023489910333813313,down
ETON,0.4281914625477068,up
ETON,0.13810734311524286,none
ETON,0.0981912469452233,none
ETON,0.009104695203380198,down
ETON,0.9829350888752022,down
