symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
ELA,bb_v1@224-238#bo:bo_227#0|burst:burst_224_232#0|tb:tb_229_238#0,tb_229_238#0,bo_227#0,burst_224_232#0,新增,1,1,1,0,3,2,5,224,232,229,238,2025-08-20,69,3,3.286595722555375,148,0.17742871920760653,-0.05671858482479375,1,0,0,9,10,2,0,0,0,0.05596740907175528,7.150000095367432
ELA,bb_v1@224-237#bo:bo_232#0|burst:burst_224_232#0|tb:tb_236_237#0,tb_236_237#0,bo_232#0,burst_224_232#0,原有,1,1,1,1,3,3,0,224,232,236,237,2025-08-29,69,3,3.286595722555375,148,0.21256603923184525,-0.07331853165376695,0,0,0,2,2,1,0,0,0,0.05203427341847597,7.46999979019165
EH,bb_v1@95-99#bo:bo_95#0|burst:burst_95_99#0|tb:tb_98#0,tb_98#0,bo_95#0,burst_95_99#0,新增,1,1,1,0,3,1,4,95,99,98,98,2025-02-11,75,5,4.360062763020483,87,0.4369870373965601,-0.3073394060271114,1,0,0,0,1,1,0,1,0,0.04338314143889822,20.709999084472656
EH,bb_v1@95-99#bo:bo_96#0|burst:burst_95_99#0|tb:tb_98#1,tb_98#1,bo_96#0,burst_95_99#0,新增,1,1,1,0,3,2,3,95,99,98,98,2025-02-11,75,5,4.360062763020483,87,0.4369870373965601,-0.3073394060271114,1,0,0,0,1,1,0,1,0,0.04338314143889822,20.709999084472656
EH,bb_v1@95-104#bo:bo_99#0|burst:burst_95_99#0|tb:tb_102_104#0,tb_102_104#0,bo_99#0,burst_95_99#0,原有,1,1,1,1,3,3,0,95,99,102,104,2025-02-18,75,5,4.360062763020483,87,0.08766386944259434,-0.4666300151769018,0,3,0,0,3,0,3,0,3,0.04998547911499511,26.34000015258789
ELVA,bb_v1@163-172#bo:bo_163#0|burst:burst_163#0|tb:tb_170_172#0,tb_170_172#0,bo_163#0,burst_163#0,原有,1,1,1,1,1,1,0,163,163,170,172,2025-05-27,111,3,3.2113424088883464,111,0.49544059508661387,-0.0618077890776052,3,0,0,0,3,3,0,3,0,0.05223952649067423,3.130000114440918
EMBC,bb_v1@221-230#bo:bo_221#0|burst:burst_221_223#0|tb:tb_228_230#0,tb_228_230#0,bo_221#0,burst_221_223#0,新增,3,1,1,0,2,1,2,221,223,228,230,2025-08-19,63,3,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-230#bo:bo_221#0|burst:burst_221_224#0|tb:tb_228_230#0,tb_228_230#0,bo_221#0,burst_221_224#0,新增,3,0,1,0,3,1,3,221,224,228,230,2025-08-19,63,3,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-231#bo:bo_221#0|burst:burst_221_231#0|tb:tb_228_230#0,tb_228_230#0,bo_221#0,burst_221_231#0,新增,3,0,1,0,4,1,10,221,231,228,230,2025-08-19,63,4,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-230#bo:bo_223#0|burst:burst_221_223#0|tb:tb_228_230#1,tb_228_230#1,bo_223#0,burst_221_223#0,原有,3,1,1,1,2,2,0,221,223,228,230,2025-08-19,63,3,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-230#bo:bo_223#0|burst:burst_221_224#0|tb:tb_228_230#1,tb_228_230#1,bo_223#0,burst_221_224#0,原有,3,0,1,1,3,2,1,221,224,228,230,2025-08-19,63,3,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-231#bo:bo_223#0|burst:burst_221_231#0|tb:tb_228_230#1,tb_228_230#1,bo_223#0,burst_221_231#0,原有,3,0,1,1,4,2,8,221,231,228,230,2025-08-19,63,4,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
EMBC,bb_v1@221-230#bo:bo_224#0|burst:burst_221_224#0|tb:tb_228_230#2,tb_228_230#2,bo_224#0,burst_221_224#0,原有,2,1,1,1,3,3,0,221,224,228,230,2025-08-19,63,3,3.08551461456446,91,0.13975963564540414,-0.03981665694181058,0,0,0,3,3,0,0,0,0,0.041481601675883314,13.09488582611084
