symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
ZEPP,tb_205_206#0,新增,True,1,205,2025-07-17,197,198,198,0,1,75,4,516.8478084195698,191,3.0967009116609114,-0.2375848806506214,2,0,0,0,2,0,2,0,2,0.12473965564056491
ZEPP,tb_205_206#1,原有,True,1,205,2025-07-17,198,198,198,0,0,75,4,516.8478084195698,191,3.0967009116609114,-0.2375848806506214,2,0,0,0,2,0,2,0,2,0.12473965564056491
ZH,tb_107_109#0,新增,True,1,107,2025-02-25,100,101,101,0,1,77,3,12.779089300176981,89,0.08503510464772919,-0.3992565317112855,0,3,0,0,0,3,0,3,3,0.06776725263710356
ZH,tb_107_109#1,原有,True,1,107,2025-02-25,101,101,101,0,0,77,3,12.779089300176981,89,0.08503510464772919,-0.3992565317112855,0,3,0,0,0,3,0,3,3,0.06776725263710356
XNET,tb_92_94#0,新增,True,1,92,2025-02-03,86,87,87,0,1,66,3,4.513038897181491,75,1.1705896913030653,-0.009099941272439368,3,0,0,0,3,0,3,0,3,0.05513470140132076
XNET,tb_92_94#1,原有,True,1,92,2025-02-03,87,87,87,0,0,66,3,4.513038897181491,75,1.1705896913030653,-0.009099941272439368,3,0,0,0,3,0,3,0,3,0.05513470140132076
ZSTK,tb_250#0,新增,False,1,250,2025-09-19,246,251,251,1,2,65,3,101.02351472219597,70,0.7279411280031449,-0.7325000066616953,1,0,0,0,1,0,1,0,1,0.08326883055781906
ZSTK,tb_250#1,新增,False,1,250,2025-09-19,248,251,251,1,1,65,3,101.02351472219597,70,0.7279411280031449,-0.7325000066616953,1,0,0,0,1,0,1,0,1,0.08326883055781906
ZTEK,tb_153_155#0,新增,True,1,153,2025-05-01,149,150,150,0,1,67,3,7.391061452513967,108,0.026474070257619053,-0.41473516564456325,0,3,0,0,0,3,0,3,3,0.09045453681970864
ZTEK,tb_153_155#1,原有,True,1,153,2025-05-01,150,150,150,0,0,67,3,7.391061452513967,108,0.026474070257619053,-0.41473516564456325,0,3,0,0,0,3,0,3,3,0.09045453681970864
ZURA,tb_209_210#0,原有,True,1,209,2025-07-23,205,205,205,0,0,180,3,14.055056426144827,114,0.35312762295637246,-0.2017733708653246,0,0,0,2,2,0,0,0,2,0.0808722759198206
