rule,kind,n_drop,n_keep,med,fp,drop_mean_fr,drop_med_fr,kept_mean_fr,d_med,d_fp
max_drop_pct>=0.1 AND max_drop_tr>=1.5,and,22,58,0.5535485337021719,0.8015873015873016,0.6854484791815364,0.17225130598227534,0.904310501582709,0.028415366423991006,0.07377665069972761
max_drop_pct>=0.1 OR max_drop_tr>=2.0,or,31,49,0.5351811772753443,0.7362637362637363,0.8857634346098774,0.4200912391952296,0.8177797787935657,0.010048009997163376,0.008453085376162295
max_drop_pct>=0.1 AND max_drop_tr>=2.0,and,18,62,0.5535485337021719,0.7851851851851852,0.701552258552564,0.17225130598227534,0.885515080320077,0.028415366423991006,0.05737453429761119
max_drop_pct>=0.1 OR max_drop_tr>=2.5,or,29,51,0.5483871463930441,0.7446808510638298,0.6981291944267503,0.3897550863640954,0.9271397842238269,0.023253979114863155,0.016870200176255734
max_drop_pct>=0.1 AND max_drop_tr>=2.5,and,15,65,0.5351811772753443,0.726027397260274,0.8327943745967017,0.2320124924175859,0.84673784638216,0.010048009997163376,-0.00178325362730003
max_drop_pct>=0.1 OR max_drop_tr>=3.0,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND max_drop_tr>=3.0,and,12,68,0.5535485337021719,0.7402597402597403,0.6377319246371369,0.17225130598227534,0.8805454785021365,0.028415366423991006,0.012449089372166267
max_drop_pct>=0.1 OR max_drop_atr>=1.5,or,29,51,0.5351811772753443,0.7446808510638298,0.7808655066156514,0.3897550863640954,0.880093645920334,0.010048009997163376,0.016870200176255734
max_drop_pct>=0.1 AND max_drop_atr>=1.5,and,18,62,0.5417841618341942,0.7761194029850746,0.7381649650871102,0.209102462466206,0.8748855848745636,0.016650994556013266,0.04830875209750063
max_drop_pct>=0.1 OR max_drop_atr>=2.0,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND max_drop_atr>=2.0,and,14,66,0.5417841618341942,0.7588652482269503,0.826162741501204,0.209102462466206,0.847933291708698,0.016650994556013266,0.031054597339376322
max_drop_pct>=0.1 OR max_drop_atr>=2.5,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND max_drop_atr>=2.5,and,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_drop_pct>=0.1 OR max_drop_atr>=3.0,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND max_drop_atr>=3.0,and,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_drop_pct>=0.1 OR max_bear_body_atr>=1.0,or,41,39,0.5215765574497939,0.7307692307692307,0.9470277877531945,0.5286897771065678,0.7359419573310245,-0.003556609828387014,0.002958579881656709
max_drop_pct>=0.1 AND max_bear_body_atr>=1.0,and,24,56,0.5535485337021719,0.7983193277310925,0.673794490978212,0.209102462466206,0.9171215687556042,0.028415366423991006,0.07050867684351847
max_drop_pct>=0.1 OR max_bear_body_atr>=1.5,or,33,47,0.5215765574497939,0.7444444444444445,0.9341492358397357,0.5286897771065678,0.7809138478953114,-0.003556609828387014,0.016633793556870446
max_drop_pct>=0.1 AND max_bear_body_atr>=1.5,and,16,64,0.5587667561481997,0.7916666666666666,0.34675709126738613,0.17225130598227534,0.9684650339611366,0.03363358887001877,0.06385601577909261
max_drop_pct>=0.1 OR max_bear_body_atr>=2.0,or,30,50,0.5283788673625691,0.7927927927927928,0.9455427690769606,0.4209105147115105,0.7832718512296423,0.003245700084388181,0.06498214190521878
max_drop_pct>=0.1 AND max_bear_body_atr>=2.0,and,9,71,0.5483871463930441,0.7727272727272727,0.3583724643831659,0.1861924325148261,0.9056975134414427,0.023253979114863155,0.04491662183969869
max_drop_pct>=0.1 OR max_bear_body_atr>=2.5,or,28,52,0.5283788673625691,0.7876106194690266,0.9867735935999435,0.4209105147115105,0.7673118271729329,0.003245700084388181,0.059799968581452534
max_drop_pct>=0.1 AND max_bear_body_atr>=2.5,and,7,73,0.5483871463930441,0.7407407407407407,0.3005264278047154,0.1861924325148261,0.8962491868377795,0.023253979114863155,0.012930089853166682
max_drop_pct>=0.1 OR max_bear_body_atr>=3.0,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND max_bear_body_atr>=3.0,and,4,76,0.5319354771909561,0.7317073170731707,0.451177419667008,0.209102462466206,0.8648048151989854,0.006802309912775195,0.0038966661855966978
max_drop_pct>=0.1 OR max_consec_bear>=2,or,41,39,0.5483871463930441,0.7432432432432432,0.7180574965087032,0.4035301142208499,0.9766543147931819,0.023253979114863155,0.015432592355669184
max_drop_pct>=0.1 AND max_consec_bear>=2,and,21,59,0.5286897771065678,0.7661290322580645,0.776900408268339,0.3131312523164531,0.8680502891551833,0.003556609828386903,0.038318381370490484
max_drop_pct>=0.1 OR max_consec_bear>=3,or,29,51,0.5351811772753443,0.7798165137614679,0.7135497845456332,0.3930555553715906,0.9183712133719131,0.010048009997163376,0.05200586287389386
max_drop_pct>=0.1 AND max_consec_bear>=3,and,12,68,0.49337076064393803,0.7323943661971831,0.7480743193704579,0.6211410802438813,0.8610732911962564,-0.0317624066342429,0.004583715309609104
